wbic,secchi,depth_at_samplesite,top_hypolimnion,440_color_10_cm,440_color_1_cm,alk,pH,dic,doc,tic,toc,totnf,totnuf,totpf,totpuf,cl,so4,ca,mg,na,k,fe,mn,upstream_lake_area,upstream_wetland_area,upstream_land_area,upstream_total_area,watershed_area,watershed_perimeter,wtemp_epil,do_epil,o2sat_epi,wtemp_meta,do_metal,o2sat_metal,wtemp_hypol,do_hypol,o2sat_hpyol
1135900,1.2861,4.1446,6.1058,0.255,0.0253,46.0341,5.7041,1.9166,9.7033,2.6672,10.8186,595.793,558.3475,24.207,22.982,0.4068,0.668,1.0014,0.3411,0.3111,0.5091,0.2148,0.0291,182718770,420364680,2088858800,2690582600,89026.492,1565.825,20.4855,7.8054,87.3725,15.9775,4.5708,50.5534,5.7313,0.2954,2.3267
1136100,1.2645,4.0327,6.1653,0.2584,0.0257,44.4849,5.6684,1.8513,9.6833,2.5649,10.6058,586.479,543.2775,24.258,22.277,0.3996,0.7009,0.9972,0.3401,0.3134,0.5115,0.2204,0.0289,180302600,414448680,2078084000,2667197000,86515.658,1546.449,20.4439,7.7954,87.1479,16.0216,4.5749,50.6209,5.69,0.2926,2.3004
1168900,1.3046,4.2761,6.1058,0.2501,0.0248,42.8042,5.6599,1.8498,9.6877,2.5712,10.8315,577.479,546.2455,22.978,22.011,0.3936,0.6849,0.9863,0.3349,0.3031,0.4988,0.2104,0.0286,175442180,399705530,1992702100,2567991700,90409.176,1574.952,20.4164,7.8138,87.2512,15.8405,4.5095,50.0284,5.7288,0.2954,2.3276
1856900,1.2909,4.2457,6.1145,0.2561,0.0254,44.5128,5.6709,1.8891,9.6769,2.6055,10.6679,586.143,544.5785,24.447,22.553,0.3988,0.6934,0.9875,0.338,0.3077,0.5055,0.2139,0.0288,178914080,407025870,2040357000,2621326600,88909.998,1562.596,20.4576,7.8049,87.0896,15.7366,4.4622,49.3037,5.7225,0.2949,2.3242
2019700,1.2924,4.3715,6.1583,0.2577,0.0256,42.5843,5.641,1.851,9.7078,2.5506,10.6437,577.515,533.3105,24.349,22.018,0.3943,0.7157,0.9728,0.3321,0.3008,0.5034,0.2154,0.0282,182159960,421350350,2081507500,2683778800,88445.528,1549.751,20.3063,7.7739,86.6736,15.6219,4.3485,48.3183,5.7288,0.2955,2.331
2777000,1.3009,4.4017,6.0848,0.2528,0.025,40.7064,5.6154,1.7998,9.6655,2.4777,10.6143,567.518,526.711,23.198,21.282,0.3808,0.729,0.9611,0.3247,0.2947,0.4911,0.2123,0.0278,172504620,396063410,1949606000,2514452600,88256.293,1551.773,20.1479,7.7727,86.2631,15.4025,4.307,47.4676,5.7325,0.2955,2.3301
2783300,1.2461,4.2174,6.1285,0.262,0.026,37.066,5.541,1.693,9.5993,2.3042,10.0996,566.056,505.9545,24.764,21.06,0.3786,0.7856,0.9644,0.3252,0.3061,0.509,0.2315,0.0285,185336560,424697960,2089681100,2685935700,80828.416,1506.215,20.1133,7.7759,86.2442,15.493,4.3452,48.0046,5.7063,0.2937,2.3131
2126,0.58,13.8,8,0.0143,0.0556,41.51,5.46,1.53,17.04,1.64,16.9,514,551,15,10,0.24,0.72,1.62,0.455,0.499,0.838,0.265,0.031,17016,191744,1186888,1395648,13954,634,26.5,5.64,70.9,16.11,1.96,22.47,4.74,0.11,0.75
19811,0.7,0.7,-999,0.6277,0.0445,109.01,5.74,3.97,24.92,3.46,23.88,1058,1058,54,64,0.12,0.85,3.59,1.07,0.539,0.211,0.695,0.084,149809,405919,1916944,2472673,290857,3064,21,7.08,77.1,19.95,7.17,80.85,-999,-999,-999
20370,0.53,1.5,-999,0.8075,0.0816,29.8,5.376,1.56,22.94,3.26,21.17,1148,1437,34.5,29,0.06,0.24,1.86,0.464,0.508,0.253,0.53,0.036,1013183,5271860,9228558,15513601,93468,1637,27,7.45,90.5,20.36,2.32,27.23,-999,-999,-999
20483,0.6,0.6,-999,0.2888,0.0279,33.43,5.564,1.54,11.48,2.14,10.62,596,644,9,16,0.08,0.26,0.993,0.302,0.189,0.219,0.133,0.014,8886,10412,113178,132476,122064,1902,24.7,7.85,95.5,-999,-999,-999,-999,-999,-999
1110100,1.98,2.5,-999,0.1417,0.0144,41.87,6.395,1.1,7.24,1.24,6.66,441.5,674,12,11,0.23,1.29,0.93,0.353,0.229,0.634,0.083,0.013,140360,159803,4725531,5025694,58582,1321,26.6,7.55,94.9,23.89,6.03,67.7,-999,-999,-999
1138100,2.25,8.8,-999,0.0737,0.0101,81.74,6.255,1.82,7.25,2.1,6.58,494,534,22,16,0.28,0.17,1.15,0.311,0.109,0.978,0.083,0.04,2354238,2227824,29959318,34541380,80203,1585,23,5.68,64.11,13.99,0.85,8.62,7.05,0.44,3.5
1149800,2.9,4.65,-999,0.1179,0.0089,11.06,5.533,1.02,6.62,1.02,6.47,319,344,10,5,0.065,0.415,0.439,0.172,0.2,0.498,0.03,0.02,273202900,405095800,2139724600,2818023300,33483,845,20.97,6.76,76.7,15.16,2.34,24.64,-999,-999,-999
2012700,0.95,2.5,-999,0.3252,0.0327,71.25,5.739,2.67,13.76,3.11,13.48,781,631,22,10,0.13,0,1.39,0.366,0.162,0.004,0.192,0.077,6765,4492,10671,21928,17436,687,19.4,7.55,82.3,18.65,7.05,75.53,17.05,5.57,57.7
2782200,2.25,3.3,-999,0.1051,0.011,97.68,6.254,1.62,7.58,2.11,6.76,374.5,402,11.5,10,25.09,0.16,2.26,0.849,14.25,0.521,0.041,0.011,7435,7514,21165,36114,28600,1004,22.05,7.03,79.95,18.73,3.84,41.99,-999,-999,-999
19993,1.3845,3.6942,-999,0.3086,0.0325,55.7407,5.7985,1.8874,13.3711,2.282,12.6022,655.376,721.3,21.5415,19.634,2.1876,0.4455,1.5514,0.4707,1.4531,0.4229,0.2365,0.0372,32100059,46760771,246977880,325014970,87540.99,1458.127,23.317,7.0597,82.3149,18.507,4.1124,45.4305,9.1633,1.7358,17.216
23077,1.4255,3.4098,-999,0.3237,0.0324,55.8316,5.8093,1.926,13.6051,2.2829,12.7806,667.4015,736.879,22.6945,20.855,1.8854,0.4844,1.5716,0.4772,1.2757,0.4214,0.2444,0.0382,38397864,57313153,304925100,401286400,91944.616,1502.174,23.3263,7.0696,82.465,18.5902,4.1659,46.0058,9.0472,1.6492,16.3826
1134400,1.4186,3.7162,-999,0.3041,0.0316,55.9885,5.7983,1.9083,13.2499,2.2663,12.5282,654.2195,715.635,21.858,19.686,1.8366,0.4384,1.5301,0.4597,1.2416,0.433,0.2361,0.0382,38969053,58140498,307252070,407112750,86751.434,1456.527,23.3023,7.0151,81.6685,18.3683,3.9267,43.4081,9.1117,1.7022,17.181
1170700,1.4483,3.7809,-999,0.3068,0.0316,56.1598,5.8048,1.8959,13.2217,2.2542,12.5296,656.0945,720.406,22.15,19.956,1.864,0.4522,1.5315,0.4608,1.2278,0.437,0.2392,0.038,38703682,58567780,305147460,407141420,90382.571,1481.83,23.287,7.0449,82.0742,18.603,4.1965,46.4967,9.0163,1.6898,16.9065
2035000,1.3281,3.7504,-999,0.3172,0.0333,58.1163,5.8023,1.9623,13.6981,2.3434,12.8647,672.7335,731.803,22.268,19.929,1.6439,0.4366,1.5463,0.4611,1.1267,0.4221,0.2407,0.0392,26973440,41150289,220020870,286516120,86490.138,1458.557,23.376,7.0176,81.8414,18.4691,4.1792,46.0139,8.961,1.6438,16.4627
2039400,1.4277,3.6793,-999,0.3138,0.032,55.6783,5.788,1.9335,13.4362,2.284,12.6989,664.442,723.245,22.2675,20.17,1.587,0.4529,1.5357,0.4598,1.0879,0.423,0.2405,0.0387,39233213,58524101,309337070,407116850,89371.779,1479.668,23.3446,7.0508,82.1824,18.5515,4.1895,46.3682,9.0794,1.7029,16.9642
20068,2.9,5.7,5.25,0.1052,0,16.2,5.858,0.91,5.38,1.06,5.43,333,301,7,10,0.84,0.97,0.625,0.198,0.035,0.409,0.034,0.011,12254,11747,59599,83599,33485,951,21.15,7.34,83.5,13.08,3.8,40.09,6,0.5,3.95
1110900,1.28,2.7,-999,0.2464,0.0244,10.45,5.254,0.54,11.94,0.8,11.62,664,609,17,5,0.16,0.49,0.573,0.193,0.172,0.61,0.125,0.018,130514,107714,4530313,4768541,66272,1321,26.6,7.02,88.9,19.53,3.02,36.16,-999,-999,-999
1115800,0.58,4.45,-999,0.3597,0.0326,-13.73,4.689,0.53,12.68,0.73,12.94,335,458,30,7,0.18,0.65,0.466,0.246,0.228,0.639,0.258,0.034,58828,166249,928186,1153262,52322,1109,19.75,8.31,90.9,13.61,3.03,31.69,-999,-999,-999
1116000,0.45,2,-999,0.9117,0.084,-76.09,4.143,0.91,25.52,1.64,25.41,610,605,19,22,0.5,1.05,0.569,0.195,0.159,0.155,0.385,0.023,628532380,1494570200,7532200300,9655302900,553138,4384,19.3,7.81,86.15,14.89,2.91,30.4,-999,-999,-999
1166500,0.7,0.7,-999,0.2428,0.0233,41.5,5.296,3.32,9.66,4.69,9.86,850,830,27,26,0.12,0.12,0.858,0.283,0.019,0.421,0.225,0.055,3566248,1526213,47263054,52355516,118569,1743,18,2.75,26.3,17.63,1.81,16.7,-999,-999,-999
1177100,0.6,1,0.75,0.7349,0.071,-53.24,4.302,0.94,27.71,1.04,27.11,870.5,760,8.5,12,0.55,1.51,0.878,0.271,0.101,0.574,0.276,0.027,9236,1586,93302,104124,102538,1690,23.2,7.85,91.3,19.83,4.98,55.14,-999,-999,-999
2025330,0.5,3,-999,0.4399,0.0379,16.68,5.456,0.72,12.14,1.45,12.56,978,959,28,29,0.22,0.36,0.781,0.243,0.12,0.45,0.246,0.022,1707113,280379,10612530,12600022,127649,2113,19.5,8.4,95.2,15,3.67,39.53,-999,-999,-999
19449,0.8877,2.5992,2.9685,0.4617,0.0423,-12.3666,4.8996,1.1475,15.9357,1.6504,15.8816,664.238,650.25,20.019,15.335,0.34,0.7396,0.6745,0.2344,0.1263,0.4704,0.2333,0.0285,105123990,248423470,1252529400,1623137500,164115.99,1982.097,21.1339,6.9435,78.9284,16.5544,3.2446,34.9178,-999,-999,-999
20622,0.842,2.4855,2.9775,0.4794,0.0441,-14.7374,4.8538,1.1556,16.4763,1.6828,16.4186,660.9665,646.894,19.922,15.397,0.3394,0.7515,0.6679,0.2342,0.1292,0.4647,0.2412,0.0291,119554630,281304600,1418070100,1816370300,172973.11,2031.635,21.0949,6.9263,78.5693,16.5362,3.2018,34.4742,-999,-999,-999
20828,0.8889,2.5633,2.9415,0.4527,0.0416,-10.9262,4.9046,1.2027,15.7891,1.726,15.8058,666.2505,652.117,20.0855,15.38,0.3377,0.7437,0.6761,0.2361,0.1256,0.4733,0.2351,0.0291,100116040,237971390,1200063100,1526839200,159335.14,1946.645,21.2196,6.9737,79.2717,16.5851,3.2787,35.3271,-999,-999,-999
21546,0.8682,2.5048,3.036,0.4644,0.0429,-12.9094,4.8816,1.1278,16.2888,1.6204,16.2155,675.3235,656.184,19.651,14.905,0.3331,0.755,0.6745,0.2333,0.1308,0.4797,0.2359,0.028,103134720,242404560,1236253700,1592953400,160991.56,1959.813,21.4194,7.0665,80.6992,16.6893,3.3138,35.9161,-999,-999,-999
1121700,0.8945,2.4936,2.9685,0.4653,0.0426,-12.4347,4.8869,1.2103,16.1262,1.7387,15.9952,668.212,650.528,19.634,15.275,0.3438,0.7553,0.6785,0.2349,0.1239,0.4702,0.2345,0.0291,104484740,249922040,1275259800,1633002400,163763.73,1968.04,21.2179,6.9231,78.5914,16.6591,3.2621,35.2136,-999,-999,-999
1170900,0.8666,2.5201,3.063,0.4754,0.0439,-14.9834,4.8519,1.1186,16.5373,1.6079,16.4329,661.3565,645.45,19.6305,14.714,0.337,0.7723,0.671,0.2347,0.131,0.4763,0.24,0.0287,108190830,254382840,1282110600,1622610900,162829.34,1963.554,21.3069,6.9755,79.2947,16.6661,3.2407,34.9571,-999,-999,-999
1172800,0.8971,2.5275,3.027,0.4586,0.042,-12.2841,4.8913,1.1611,16.1022,1.6749,16.0002,666.2845,648.066,19.5715,14.984,0.3391,0.7477,0.671,0.2335,0.127,0.4705,0.2336,0.0287,110123300,261877620,1320485300,1700678300,165705.72,1976.775,21.3057,6.8925,78.5337,16.6275,3.2039,34.5929,-999,-999,-999
2013500,0.9001,2.4734,2.9955,0.4618,0.0423,-11.9515,4.9013,1.182,16.024,1.7016,15.9775,670.219,651.368,19.6515,15.06,0.3365,0.7367,0.6779,0.2346,0.1242,0.4736,0.2304,0.0289,100742540,237979900,1215413700,1556283200,159697.16,1945.139,21.2861,6.903,78.6963,16.6175,3.2271,34.7826,-999,-999,-999
21519,0.38,3.3,-999,1.1166,0.1099,29.66,5.181,1.29,32.14,1.36,31.76,875,882,15,12,0.51,0.74,2.76,0.968,1.04,0.444,0.487,0.03,12517674,9111903,46802668,68432246,697,106,17.9,7.34,77.3,13.03,2.56,26.17,-999,-999,-999
607825,0.9,0.9,-999,0.3247,0.0291,86.28,5.898,2.06,13.01,2.3,12.43,920,835,20,19,0.8,1.86,1.75,0.653,0.481,1.66,0.193,0.042,14080,11233,89154,114467,103234,2007,20.7,6.2,66.6,16.19,5.04,51.89,-999,-999,-999
994200,1.7,4.3,3.25,0.1856,0.016,0.7,5.174,0.53,7.916,0.73,7.6,412,417,2,8,0.64,1.34,-999,-999,-999,-999,-999,-999,273196120,405086900,2139697900,2817980900,103232,1796,17.5,9.27,97.7,10.69,4.96,46.9,5.6,0.49,3.75
1127100,1.53,8.15,6.5,0.1524,0.0154,57.2,5.809,2.22,0.8,1.73,8.25,417,441,12,12,0.12,0,1.09,0.307,0.287,0.597,0.295,0.024,38773,20195,1209790,1268758,1024664,6708,23.9,5.4,64.4,14.59,1.58,17.66,5.27,0.12,0.87
1161500,0.85,0.85,-999,-0.0002,0.0318,265.94,6.815,4.61,11.15,4.11,11.32,619,524,27,14,0.27,2.47,4.05,1.82,0.944,0.141,0.224,0.005,273196120,405086900,2139697900,2817980900,64190,1426,19.63,7.64,83.8,19.7,7.55,82.6,-999,-999,-999
2155,1.2076,3.956,4.9368,0.2904,0.0315,73.9705,5.7241,1.9453,10.2968,1.8691,12.0637,607.764,584.487,13.59,12.855,0.4739,1.1888,2.0896,0.7934,0.5786,0.8551,0.2748,0.0277,104423260,155375820,823043130,1084634700,331583.52,2916.171,20.228,7.1133,77.5758,14.3883,4.1449,42.4686,5.4314,0.3013,2.287
2298,1.2015,3.934,4.8393,0.3139,0.0331,67.2363,5.6825,1.8497,10.7248,1.7919,12.3933,618.282,596.229,13.169,12.834,0.4895,1.1599,2.0599,0.7774,0.5876,0.8456,0.2837,0.0278,103853490,152317160,802478920,1052040800,320918.74,2827.814,20.2351,7.0831,77.2136,14.3456,4.0739,41.7833,5.4386,0.3087,2.3388
21254,1.1804,3.8598,4.9563,0.2995,0.0326,76.9779,5.7528,2.0213,10.6902,1.9294,12.2968,622.273,595.573,14.111,13.085,0.4785,1.2046,2.1182,0.8068,0.5888,0.821,0.2787,0.0271,102560870,151361440,801735990,1053703000,322149.58,2840.057,20.2485,7.0657,77.1068,14.5265,4.1879,43.1881,5.4291,0.2998,2.2812
21832,1.1639,3.6799,4.8198,0.3072,0.0333,76.4241,5.7361,1.9793,11.0976,1.9164,12.5553,631.419,605.654,14.132,13.143,0.4917,1.2386,2.1285,0.811,0.6018,0.8388,0.2817,0.0275,105492060,155548470,830220220,1085828700,293006.64,2688.522,20.1538,7.1276,77.6562,14.5752,4.2565,43.6336,5.432,0.3013,2.2754
1161200,1.1964,4.0721,4.8783,0.3096,0.0328,68.8832,5.7005,1.9036,10.7565,1.8407,12.549,620.126,596.159,13.565,12.896,0.4793,1.1644,2.0798,0.7804,0.5882,0.8421,0.2837,0.0279,104648030,153919230,813129130,1077328700,319270.08,2820.154,20.2036,7.0874,77.3298,14.4002,4.0842,42.0691,5.4317,0.3017,2.2812
1164475,1.1863,3.8386,4.8523,0.2943,0.0316,73.197,5.7331,1.9573,10.3297,1.8944,12.087,627.679,601.135,13.937,13.224,0.4895,1.2046,2.0759,0.7839,0.5829,0.8674,0.2777,0.0281,99468125,146031680,762934900,1005452000,324988.27,2895.721,20.3687,6.9896,76.289,14.6004,4.1532,42.6217,5.4416,0.3124,2.3676
1588700,1.1869,3.8026,4.8718,0.3135,0.0335,71.166,5.6977,1.8871,11.0657,1.8335,12.5578,621.51,597.253,13.447,12.883,0.4939,1.2067,2.0448,0.7654,0.5771,0.8352,0.2829,0.0277,111600270,165142880,872361770,1152433800,308137.59,2790.413,20.1529,7.1487,77.8179,14.3796,4.1771,42.8247,5.431,0.2983,2.2524
2778975,1.1763,3.7509,4.8555,0.3041,0.0331,75.9584,5.7339,1.9648,11.1109,1.9171,12.5468,632.085,604.724,14.139,13.176,0.498,1.2578,2.1209,0.8065,0.5976,0.8549,0.28,0.0277,105938170,155898870,817096690,1087951800,295392.79,2727.97,20.1433,7.1063,77.4416,14.6231,4.3393,44.6664,5.4403,0.3102,2.3474
2783400,1.1877,3.9544,4.81,0.3171,0.0335,68.58,5.689,1.8795,10.9917,1.8139,12.6238,618.364,596.934,13.364,12.826,0.4854,1.1644,2.0585,0.7731,0.5853,0.8578,0.2821,0.0281,105194270,154333380,813172480,1066261000,320669.89,2821.897,20.2033,7.093,77.2719,14.3874,4.0756,41.675,5.4393,0.3102,2.3503
2950400,1.1763,3.3012,4.8653,0.3001,0.0337,78.6383,5.7223,1.9396,11.5718,1.9185,12.3147,625.574,592.664,13.592,12.691,0.5252,1.4081,2.1592,0.8251,0.5976,0.8427,0.2758,0.0272,140517590,208052710,1101140000,1448262700,210249.28,2266.029,19.5858,7.4762,80.6884,14.4573,4.6968,47.9681,5.4324,0.302,2.2841
1007400,2.73,7.5,6.5,0.1226,0.0097,110.78,6.583,2.1,6.77,2.22,6.62,425,433,12,9,0.8,0.93,1.53,0.595,0.697,1.6,0.192,0.006,174056,129849,1158196,1462101,110900,1849,17.8,7.84,82.63,12.84,1.04,10.69,7.45,0.23,1.85
1153600,0.88,4,-999,0.1631,0.0167,544.36,8.554,7,7.32,7.79,6.87,604,509,26,31,0.67,2.07,7.7,2.54,1.33,0.535,0.477,0.021,273196120,405086900,2139697900,2817980900,225993,2430,22.71,8.96,104.17,19.58,2.39,27.7,-999,-999,-999
1155000,0.45,7.65,5.5,0.9041,0.0877,120.68,6.23,2.25,20.42,2.39,20.24,758,695,33,29,0.21,0.76,2.61,0.993,0.69,0.511,3.01,0.052,273196120,405086900,2139697900,2817980900,1125804,6497,17.1,7.59,78.6,12.31,2.35,23.41,5.61,0.14,1.09
1162500,3.1,4.6,-999,0.0603,0,12.13,5.79,0.97,4.99,0.56,5.74,504,429,8,12,0.14,1.5,0.622,0.201,0.043,0.351,0.029,0.017,273196120,405086900,2139697900,2817980900,149260,2324,23.03,7.49,88.19,19.89,7.36,79.14,-999,-999,-999
1163900,1,1,-999,-0.0039,0.0218,19.31,5.557,0.87,10.1,1.44,10.01,795,714,30,13,0.91,2.17,1.32,0.531,0.248,0.399,0.093,0.022,37357101,30121744,284762790,352241630,1099957,8557,19.03,7.62,81.68,19.1,7.52,80.4,-999,-999,-999
2779500,1.33,10.1,7.5,0.2447,0.0272,54.46,6.33,0.97,10.47,1.08,9.82,428,381,12,8,0.17,1.62,1.61,0.517,0.474,0.586,0.225,0.047,1462077,4880015,14131769,20473862,144387,2166,25.6,7.36,89.1,17.73,4.18,47.24,5.47,0.23,1.8
2355,1.4728,5.2633,6.217,0.2711,0.0296,157.6631,6.5239,2.536,10.3388,2.7614,10.2422,617.044,549.731,21.821,18.942,0.4696,1.5509,2.8196,0.9848,0.5903,0.5646,0.793,0.0284,174504630,253445600,1361224100,1791037500,553265.02,4394.001,20.6684,7.8569,87.7049,17.1261,4.3355,46.6113,6.0136,0.1833,1.4441
19903,1.4919,5.1193,6.23,0.2519,0.0278,166.9662,6.5846,2.6908,10.0124,2.9425,9.9661,616.004,550.263,21.939,19.002,0.5003,1.5759,2.9228,1.0143,0.6042,0.5862,0.7394,0.0271,174790360,253714570,1359161600,1783667800,532440.17,4299.037,20.7754,7.9123,88.5296,17.3722,4.3567,47.1275,6.0977,0.1878,1.4811
717100,1.4478,5.311,6.274,0.2785,0.0307,146.9377,6.4668,2.4095,10.613,2.647,10.5572,623.565,557.085,22.237,18.721,0.4714,1.5543,2.6926,0.9422,0.5633,0.551,0.8071,0.0288,172520640,250760050,1356203500,1787118800,570352.43,4509.039,20.6605,7.8446,87.5426,17.275,4.537,48.9312,5.9855,0.1837,1.4483
1123900,1.4699,5.2145,6.283,0.264,0.0297,147.7004,6.4784,2.4614,10.4627,2.7028,10.3602,619.181,553.032,21.898,18.544,0.4849,1.5486,2.7201,0.9447,0.5722,0.5785,0.7837,0.0281,169173740,245636880,1328220300,1747621700,563312.53,4455.217,20.6051,7.8413,87.4945,17.1262,4.3868,47.443,6.0442,0.1855,1.4582
1160700,1.4954,5.2254,6.307,0.2522,0.0284,154.2749,6.5166,2.5067,10.2258,2.7381,10.1224,612.966,547.033,21.54,18.268,0.4818,1.5608,2.7213,0.9497,0.5716,0.5853,0.7304,0.0277,162955890,237218290,1279551000,1683534800,537843.96,4322.328,20.8023,7.833,87.6106,17.2471,4.4721,48.1845,6.025,0.1863,1.4694
1166035,1.4612,5.1036,6.22,0.2639,0.0287,174.011,6.6018,2.7316,10.1736,2.9764,10.1332,619.731,549.339,21.885,19.433,0.4709,1.5718,2.9192,1.0164,0.5963,0.5555,0.746,0.0276,180331610,262783090,1409779000,1857968700,537199.48,4313.867,20.8607,7.8922,88.4406,17.4326,4.4751,48.1634,6.0528,0.1835,1.4472
2016400,1.5014,5.0728,6.208,0.2554,0.0283,160.0885,6.5253,2.5639,10.2072,2.8024,10.1262,620.863,551.923,21.911,18.893,0.4809,1.5811,2.8139,0.9806,0.5727,0.5474,0.7575,0.0276,178043720,259803860,1397335700,1846635300,551467.7,4409.996,20.7748,7.8674,88.0655,17.407,4.5428,49.042,6.0222,0.1832,1.443
2297300,1.4827,5.3321,6.221,0.2734,0.0299,160.0584,6.5426,2.5612,10.4045,2.8005,10.3424,614.146,546.851,21.654,18.898,0.4716,1.5457,2.8159,0.9797,0.5879,0.5738,0.7765,0.0279,177033480,256142830,1373642000,1799315900,547613.54,4355.916,20.6617,7.8487,87.5888,17.2068,4.4573,48.0533,6.0234,0.1832,1.4437
2950200,1.5179,5.257,6.219,0.2671,0.0291,154.7852,6.5134,2.5105,10.3501,2.7325,10.2957,615.619,549.143,21.607,18.762,0.4726,1.5346,2.7501,0.9615,0.5771,0.578,0.782,0.0278,175558110,255912390,1373241000,1809208200,537396.97,4264.853,20.7078,7.8556,87.8291,17.1574,4.3538,46.8371,6.0534,0.1846,1.4542
2283,0.6,1.1,-999,0.7261,0.0648,16.61,5.117,0.56,18.38,1.17,17.91,797.5,637,13,15,-999,-999,1.87,0.535,0.986,0.616,0.452,0.056,27724,181517,493318,702560,216930,2430,25.1,7.8,93.4,22.56,5.94,69.34,-999,-999,-999
1133400,1.65,3.4,-999,0.1469,0,23.44,5.613,0.91,8.53,1.3,8.07,544,1279,5,7,-999,-999,6.26,1.54,0.725,0.399,0.002,0.002,25256,53054,310258,388568,335514,3856,19.59,6.45,71.29,15.97,6.52,70.61,-999,-999,-999
1162600,2.5,4,-999,0.1072,0,7.31,5.465,0.83,5.4,0.96,5.09,439,459,5,13,0.18,1.43,0.478,0.199,0.049,0.37,0.024,0.03,273196120,405086900,2139697900,2817980900,54407,1320,20.75,7.5,84.93,18.93,8.53,93.74,-999,-999,-999
1173500,0.6,8.2,6,0.387,0.0369,9.55,5.122,0.96,11.13,0.8,10.85,416,436,6,6,0.35,1.54,0.879,0.282,0.274,0.453,0.45,0.021,306189,846657,5864769,7017616,170892,2166,16.77,7.69,80.02,11.39,5.63,52.26,6.02,2.8,22.84
1875400,0.75,1.8,-999,0.6108,0.0651,106.01,6.32,2.56,19.83,2.69,19.06,892,953,31,27,1.13,1.08,2.78,1.11,1.16,0.394,0.357,0.011,23783,0,40398,64181,64181,1321,22,7.03,80.2,19.01,2.92,32.79,-999,-999,-999
2330500,1.7,1.7,-999,0.1291,0.0106,744.11,7.175,-999,-999,-999,-999,279,317,4,13,3.93,3.12,12.4,3.045,1.705,0.667,0.047,0.004,114108260,95079058,551779790,760967100,1769612,11251,12.38,8.84,83.23,11.7,8.83,82.1,-999,-999,-999
19729,1.3696,3.7567,-999,0.325,0.0266,105.4406,5.7288,1.0693,11.155,1.2629,10.7463,559.398,726.142,10.525,12.948,1.1708,1.642,3.6663,1.0224,0.7182,0.4546,0.2085,0.0183,63802671,87551961,468458320,625329880,333700.73,3171.742,19.58,7.4011,81.0141,16.4355,6.2157,65.1816,-999,-999,-999
1021400,1.3241,3.6863,-999,0.3334,0.0275,102.2132,5.7415,1.0672,11.2811,1.2701,10.8806,571.538,755.084,11.325,13.472,1.209,1.6674,3.7143,1.0347,0.7401,0.4492,0.2092,0.0177,59219887,81010740,428616350,567651280,320128.82,3106.159,19.5489,7.3466,80.376,16.4297,6.136,64.3036,-999,-999,-999
1152600,1.3452,3.8207,-999,0.3307,0.0274,98.2097,5.7284,1.0543,10.8447,1.2278,10.4262,569.3835,726.149,11.314,13.526,1.1492,1.612,3.323,0.9449,0.6903,0.4445,0.2174,0.0189,67098447,92818983,494897560,651834040,300459.1,2971.077,19.7034,7.3598,80.8253,16.6054,6.1415,64.7384,-999,-999,-999
1161900,1.3455,3.7503,-999,0.3325,0.0275,108.0438,5.7392,1.0875,11.1222,1.2708,10.7,561.278,710.247,11.008,13.572,1.2187,1.6596,3.5825,1.0068,0.7254,0.4542,0.2146,0.0186,68035523,92470525,491442240,650829350,337516.96,3168.145,19.5895,7.3907,80.9189,16.6025,6.1791,64.9284,-999,-999,-999
1178400,1.3135,3.7176,-999,0.334,0.0281,124.5649,5.7794,1.1142,11.2868,1.2899,10.8011,558.4325,710.821,11.121,13.472,1.2777,1.677,3.6951,1.0315,0.7398,0.4572,0.2192,0.0183,64356037,86677607,464388540,618184170,337729.61,3180.313,19.4903,7.4117,80.9963,16.4004,6.1793,64.5586,-999,-999,-999
1587300,1.3378,3.8516,-999,0.3276,0.027,95.1122,5.7173,1.0541,10.7726,1.2332,10.3744,563.3115,729.161,11.094,13.328,1.1384,1.6096,3.3825,0.9573,0.6847,0.446,0.2116,0.0187,69743266,96663602,513712510,681585680,308578.82,3018.707,19.6162,7.3934,81.0375,16.5431,6.249,65.6268,-999,-999,-999
1832600,1.3094,3.9074,-999,0.335,0.0279,96.8887,5.7176,1.0428,10.6926,1.2153,10.3446,562.975,727.831,10.826,13.065,1.1529,1.6102,3.3958,0.9622,0.685,0.4457,0.2175,0.0182,64215802,88885978,479016620,630223010,306881.81,3041.696,19.4514,7.3635,80.488,16.2775,6.1779,64.6334,-999,-999,-999
2265000,1.3336,3.8253,-999,0.3338,0.0277,100.8299,5.7138,1.0627,11.0733,1.2396,10.5963,566.176,716.929,11.086,13.37,1.1159,1.601,3.3791,0.9582,0.703,0.4518,0.2206,0.0191,66057060,90852285,482813920,641096010,319619.12,3076.247,19.5506,7.4164,81.1352,16.4925,6.1857,64.9441,-999,-999,-999
2781900,1.3596,3.8018,-999,0.3252,0.0266,105.0957,5.714,1.0725,11.0626,1.2674,10.6601,553.8885,708.884,10.401,12.961,1.1776,1.6593,3.5048,0.9765,0.6964,0.4549,0.2116,0.0195,70017978,96183539,515485660,684315070,326904.58,3104.378,19.6622,7.4102,81.2251,16.5801,6.2947,66.1364,-999,-999,-999
2561,2.88,6.45,-999,-0.0286,0.0144,38.08,5.982,0.83,8.9,1.05,9.14,422,358,15,5,0.24,2.57,1.51,0.508,0.51,0.717,0.027,0.016,307679,862452,4529619,5699750,225998,2483,20.43,6.94,77.11,11.06,3.97,38.79,-999,-999,-999
